Month,1,2,3,4,5
January,Spinadesco,Soresina,Darfo Boario Terme,Treviglio,Cremona
February,Ponti sul Mincio,Mantova,Soresina,Spinadesco,Brescia
March,Soresina,Casirate d'Adda,Spinadesco,Bergamo,Treviglio
April,Spinadesco,Casirate d'Adda,Dalmine,Soresina,Treviglio
May,Bergamo,Spinadesco,Casirate d'Adda,Treviglio,Pavia
June,Dalmine,Treviglio,Casirate d'Adda,Spinadesco,Saronno
July,Casirate d'Adda,Cornale e Bastida,Soresina,Cremona,Spinadesco
August,Spinadesco,Soresina,Casirate d'Adda,Cremona,Cornale e Bastida
September,Casirate d'Adda,Soresina,Spinadesco,Cremona,Cornale e Bastida
October,Soresina,Cornale e Bastida,Spinadesco,Casirate d'Adda,Treviglio
November,Spinadesco,Soresina,Cremona,Cornale e Bastida,Casirate d'Adda
December,Soresina,Spinadesco,Cremona,Monza,Casirate d'Adda
